Plethora	s	Plaza full - a plaza completely full of a massive overabundance of items.
Pliable	s	Ply - like plywood, it bends easily and is highly flexible.
Poignant	s	Point - a sad memory so sharp it feels like it points straight into your heart.
Polemic	s	Polemic = debate weaponized: a blistering attack essay or speech against a person or idea.
Portent	s	Important - a highly important sign that something terrible is about to happen.
Potable	s	Pot - water safe enough to boil in a pot and drink.
Potentate	m	"potent" (powerful) = an incredibly powerful ruler or dictator.
Pragmatic	n
Precipice	s	Press of ice - standing dangerously on the very edge of a massive cliff of ice.
Preclude	m	"pre-" (before) + "cludere" (shut) = shut the door before it happens, making it impossible.
Precocious	e	Latin praecox ("cooked before"): a child whose mind has "cooked" ahead of schedule.
Predilection	s	Pre-direction - you lean in a pre-direction because you have a strong preference for it.
Preponderance	m	"pre-" (before) + "ponder" (weigh) = an amount so massive it outweighs everything else.
Prepossessing	s	Possess - someone so attractive you want to possess their attention.
Presage	m	"pre-" (before) + "sage" (wise) = wise intuition that reads what is coming before it arrives.
Prescient	m	"pre-" (before) + "sci" (know) = knowing what will happen before it does.
Prescribe	n
Presumptuous	n
Pretense	n
Primeval	m	"prim" (first) + "ev" (age) = relating to the very first, ancient ages of the earth.
Privation	s	Deprive - a state of extreme poverty where you are deprived of basic needs.
Probity	s	Probe - a politician whose morals are so flawless they withstand the deepest legal probe.
Proclivity	s	Incline-built - in lean toward a habit; a tendency so steady it feels like gravity.
Procure	n
Profane	m	"pro-" (outside) + "fanum" (temple) = disrespect spoken outside the sacred space.
Profligate	s	Profits gate - throwing profits out the gate because you are reckless with money.
Profuse	m	"pro-" (forth) + "fundere" (pour) = pouring forth in massive abundant quantities.
Promulgate	s	Prom gate - announcing new rules loudly right at the prom gate.
Propagate	n
Propensity	s	Pro pen - a writer with a natural tendency to always grab a pro pen.
Propitious	s	Profits - conditions look favorable; strong signs you could see big profits.
Propriety	s	Proper - acting with strict, perfectly proper, socially acceptable behavior.
Prosaic	s	Prose - writing that sounds like ordinary prose instead of poetry; dull.
Proscribe	m	"pro-" (before) + "scribere" (write) = write a name on a list to legally forbid someone.
Protean	e	From Proteus, Greek sea god who changed shape to escape - versatile, constantly shifting.
Prowess	n
Prudence	s	Prude - so careful and cautious with choices that people joke you are a prude.
Prurient	n
Puerile	s	Pure ill - a child acting so immaturely it makes you feel purely ill.
Pugnacious	m	"pugn" (fight) = eager to argue or fight; combative energy.
Pulchritude	s	Pull attitude - beauty so strong it pulls the room's attitude toward you.
Punctilious	s	Punctuation - obsessed with tiny details; corrects your text-message punctuation.
Pungent	s	Punch in - a smell so sharp it punches you in the nose.
Punitive	m	"pun" (punish) = intended to punish, not merely to correct.
Putrid	s	Puke - rot so foul it makes you want to puke.
Quagmire	s	Quack mire - a duck stuck in a muddy, complicated swamp.
Quaint	n
Quandary	s	Wandering - wandering lost because you are stuck in painful uncertainty.
Quell	s	Quiet well - force quiets the riot well.
Querulous	s	Quarrel - whining and always ready to pick a petty quarrel.
Quixotic	e	Don Quixote charged windmills as giants - idealistic but impractical.
Quotidian	s	Quota - same boring daily quota; ordinary everyday life.
Rail	s	Derail - ranting so hard you try to derail the meeting.
Rancid	n
Rancor	s	Rank core - bitter hatred sitting in the core of your heart.
Rapport	n
Rash	n
Raucous	s	Ruckus - a loud chaotic crowd making a ruckus.
Raze	s	Razor - bulldozing a building down as if shaved by a razor.
Rebuke	n
Recalcitrant	m	"re-" (back) + "calcitrare" (kick) = kicking back; stubbornly disobedient.
Recapitulate	m	"re-" (again) + "capit" (head) = revisit the main heads or points in summary.
Reciprocate	n
Reclusive	m	"re-" (back) + "clus" (shut) = shut away from the world; withdrawn.
Reconcile	n
Rectitude	m	"rect" (straight/right) = upright, morally straight behavior.
Redoubtable	s	Doubt - an opponent so intimidating you doubt you can win.
Refract	n
Refurbish	n
Refute	n
Regurgitate	n
Relegate	s	Relocate - moved down to a lower, less important rank or role.
Relish	s	Hot dog relish - savoring a moment the way you savor relish on a hot dog.
Remedial	n
Remiss	s	Miss - careless with duty so you miss the deadline entirely.
Renovate	n
Renown	n
Renunciation	m	"re-" (back) + "nuntiare" (announce) = announce you formally renounce a claim.
Repentant	n
Replete	m	"re-" (again) + "plere" (fill) = filled back up to maximum capacity.
Repose	s	Pose - lying still in a calm resting pose.
Reprehensible	s	Apprehend - behavior so bad the police should apprehend you.
Reprieve	n
Reproach	s	Roach - scolding the owner for a roach in the kitchen.
Reprobate	s	Probation - a scoundrel who failed probation and slid back to trouble.
Reprove	s	Prove - scolding someone until they prove they will not repeat it.
