Target ID,Target Word,Target Charge,Foil ID,Foil Word,Foil Charge,Overlap Count,Overlapping Synonyms
d5ac52d3-398c-405d-a0d4-ed26dd2fcb2d,Appropriate,neutral,f5034f88-e7bf-4a85-8281-5ffe01f80db7,Arrogate,negative,3,commandeer|seize|usurp
d877789b-194a-48fd-867b-257ccd22f8be,Brusque,negative,a7d45912-c147-487b-8d1e-14849a2ee07b,Laconic,neutral,3,blunt|curt|terse
567b8fef-b2c7-4945-8970-da19f6fb99cd,Concord,neutral,dceea23a-c0ff-4ec2-a29f-779173c6c18a,Consensus,positive,3,agreement|harmony|unanimity
80490edd-46ff-4c36-a937-6684004488df,Confound,negative,e52a7662-1bb9-4d9e-90aa-796204dadc81,Perplex,neutral,3,baffle|bewilder|mystify
d96dd8d2-490a-4711-80c3-b1741df86de1,Fickle,negative,ad08c0f5-9730-463b-a2f7-3cb50c43ed37,Mercurial,mixed,3,capricious|changeable|volatile
0f026d24-be85-4cd5-ba61-6c4e082faf95,Pacific,positive,2407105c-5598-4192-a63e-c33b9fa81a99,Placid,neutral,3,peaceful|serene|tranquil
e9f35bd6-eecf-4209-977b-f743a011d63c,Aberration,negative,20a4e1c3-673a-4142-94cf-aa696fe8ac1c,Anomaly,neutral,2,deviation|irregularity
24cfc7b1-135c-46fd-b880-6ed1ce3fe149,Abscond,negative,5ebbdb60-a188-4deb-a7af-1b679841127f,Elude,neutral,2,escape|slip away
52e01577-0342-4c3a-baa4-a47c34bc61e5,Abstruse,negative,9a97d0e3-4c40-471b-84c5-493aefa53fb4,Esoteric,neutral,2,arcane|recondite
81de4be9-ab1a-4701-8d5d-cc7edd8e363e,Accord,neutral,dceea23a-c0ff-4ec2-a29f-779173c6c18a,Consensus,positive,2,agreement|concord
e7edcda6-a370-42c0-a4b3-a45b7e29fe58,Acquiesce,neutral,c733a8c4-c2ad-47c7-a961-878e729ab4f3,Capitulate,negative,2,submit|yield
98cd0bea-f284-4606-a44c-e9c74b4fa465,Adroit,positive,b73aa85f-1802-42af-b590-3a2af5d8bda6,Agile,neutral,2,dexterous|nimble
f85798b2-bcad-4578-ab81-57e50cbae442,Allay,neutral,e482af30-cb44-4ec7-bc92-671e40f02e7e,Alleviate,positive,2,mitigate|relieve
b337567a-9aa9-4942-ab8c-3a94eb11c087,Amorous,neutral,5d282f2d-80a2-4c6c-9024-780870240d17,Zealous,mixed,2,ardent|passionate
3efedb4a-c1e2-4590-bdba-f3f9c7178db8,Animated,positive,7abfb071-2663-4ffe-9062-c089dbe59fbd,Vivacious,neutral,2,lively|spirited
a6f70db2-5ace-4712-9193-cb0a0f420217,Annex,neutral,f5034f88-e7bf-4a85-8281-5ffe01f80db7,Arrogate,negative,2,appropriate|seize
1419f0a7-a295-41c7-ad5f-eb068207bab1,Appease,neutral,46a4bc38-2696-40da-bd29-800753adb8c0,Assuage,positive,2,mollify|pacify
08928a65-9786-4415-a956-7cf1015b34d4,Arbitrary,negative,ad08c0f5-9730-463b-a2f7-3cb50c43ed37,Mercurial,mixed,2,capricious|whimsical
6ff968ac-7b00-4a44-b072-96542960cea3,Archaic,neutral,fff356a0-9c43-40fc-8872-9dbba0c69727,Obsolete,negative,2,antiquated|outmoded
46a4bc38-2696-40da-bd29-800753adb8c0,Assuage,positive,fb612dd6-aaf8-415e-a609-126ead4d67fa,Placate,neutral,2,mollify|pacify
